commercial_id,title,nice_class,description,year,lustrum,duration_in_seconds,source,has_been_transcribed,palette_extracted
7cf5ef492fe149249fb0743058b4b7a9_030,Bayer Aspirina,5,"Inverno. Pioggia. Freddo. Influenza, debolezza, stanchezza. Per chi non può permettersi di restare a casa, Aspirina. (L’immagine è instabile a causa del supporto rovinato)",1980,1980_1984,30.0,Spot 80,True,True
3f4e4732a0604b2898e1eaf068e3222c_030,Black & Decker Trapano,11,"Antico spot del celeberrimo trapano Black & Decker, munito dei molteplici accessori che l’hanno fatto diventare l’elettroutensile più famoso e venduto degli anni ’80.",1980,1980_1984,31.0,Spot 80,True,True
db28c3e1669f447594d46ce624068c4f_015,Bolswessanen Cynar Con Ernesto Calindri,33,"Contro il logorio della vita moderna… così recitava Calindri nei vari caroselli Cynar. Nell’80 Carosello non c’è più, ma la sua influenza è ancora presente. Infatti, sebbene lo spot non abbia nessuna immagine particolarmente significativa (si potrebbe definire “didascalico”), la presenza di Calindri richiama alla memoria i tempi passati.",1980,1980_1984,16.0,Spot 80,True,True
732dc471d65b4b14bd64321c1a537c88_030,Bracco Cebiopirina Effervescente,5,"Conoscete tutti il Cebion, la pasticca effervescente alla Vitamina C, ma vi ricordate come si chiamava nel 1980? Tecatà vi offre la risposta in questa piccola chicca.",1980,1980_1984,31.0,Spot 80,True,True
1e3254f293284997bab437a075ffd344_030,Carnielli Graziella Bicicletta,12,"Con questo apparente duplice spot del 1980 vi mostriamo non una bicicletta, ma “la” bicicletta per eccellenza del nostro paese: era la Graziella, la bicicletta disegnata da Rinaldo Donzelli e prodotta a partire dal 1964 dalla Teodoro Carnielli che raggiunse dopo poco tempo una popolarità tale da farla diventare una delle icone del made in Italy degli anni ’60. La sua commercializzazione contribuì in maniera decisiva a rivoluzionare la percezione comune della bicicletta, che fino agli anni ’50 era considerata solo come attrezzatura sportiva o come mezzo di trasporto “povero”, e che negli anni del boom economico divenne invece uno status symbol della nuova gioventù benestante.",1980,1980_1984,31.0,Spot 80,True,True
f7439138ccef4a3b92282de005731fc0_015,Chilly Detergente Intimo,3,"Spot del detergente intimo Chilly, all’epoca pronunciato, appunto, “chilli”, che risolve in modo geniale il problema di far vedere ciò che in tv…non si può far vedere! Semplicemente…non lo fanno vedere! L’allusione è sempre un’ottima arma per attirare l’attenzione.",1980,1980_1984,20.0,Spot 80,True,True
e20ff1e1691a4667bca91ee720780444_030,Citizen Orologi,14,"In una serie di immagini dalla fotografia ben curata ci vengono presentati gli orologi al quarzo della linea Citizen, adatti per uomo, donna, e bambino.",1980,1980_1984,31.0,Spot 80,True,True
cbf08d870ef248dfb3d17f4a6220d90f_045,Colgate Fluor Mfp Dentifricio Con Enrica Bonaccorti,3,La presentatrice Enrica Bonaccorti illustra ai bambini di una classe elementare i benefici del dentifricio Colgate con Fluor MFP.,1980,1980_1984,33.0,Spot 80,True,True
5d2d0161d5494c1aae9362bba9348d9d_030,Durbans Dentifricio Con Alberto Lionello,3,"Antico spot del dentifricio Durbans, avente come protagonista l’attore Alberto Lionello (1930-1994) che ne declama le buone qualità sfruttando ben due slogan noti per il dentifricio: “il sorriso Durban’s” e “il sapore boccafresca”.",1980,1980_1984,31.0,Spot 80,True,True
54947c53ada14454a8a9fa502f32c335_030,Fabbri 1905 Fabbri Frutta Al Liquore,33,"Uno spot tutto sommato semplice nella realizzazione e nell’obiettivo, che è semplicemente quello di presentare il prodotto, la frutta al liquore. L’impostazione dello spot, e la scelta della colonna sonora, non celano per nulla l’età del commercial.",1980,1980_1984,31.0,Spot 80,True,True
