commercial_id,title,transcription,log_prob
_3siiuQ3kp0.s5,Fiat Fiorino,"Nascere nuovo Fiorino Franco e Hugo stabiliscono il nuovo record di divano in lungo Giulio, Pietro, Luigi e Bruno il nuovo record di sollevamento jukebox categoria massima Anne e Silvio battono il record di pianta in alto A Nicola e Teo va il nuovo record di formaggio senza ostacoli A Irene e Piero il nuovo record di torta tripla Mentre il nuovo record di conforto in largo lo stanno stabilendo Silvia e Daniele Nuovo Fiorino, da oggi i suoi record sono i vostri Fiat Fiorino Nascere nuovo Fiorino",-0.16718501644534664
_3siiuQ3kp0.s7,Baci Perugina,墙中聖火夢之中一個人 Federal fourth century,-3.893886184692383
_LQYpDfplFE,Spot Nike 2004 (italiano),"Caldo, benvenuto a tutti da questo fantastico stadio dove sta per cominciare l'attesissimo match tra Portogallo e Brasile. Le squadre stanno per fare i conti, grazie. Olè! Olè! Venga, pè! Olè! Espera! Che li dà, bravo. V gaps, v gaps. Grazie,UP!iquedly... Sottotitoli creati dalla comunità Amara.org",-0.42764029445418394
_qPReXLa870,Spot Coca Cola Italia 2015,La bottiglia Coca Cola con Piacento Alli. Chiedila al bar nel nuovo formato in vetro. www.sottotitoli.com,-0.36111483080633755
_RIBAprIKQc,Spot Morellato gioielli FW/2014 - Collezione Drops,Sottotitoli creati dalla comunità Amara.org,-0.254116226645077
_szeyRdVmRQ,Spot Jeep Renegade 2020 Lonely Boy   Non tutti i genitori guidano una Jeep® voce Mirko Mazzanti,Sottotitoli e revisione a cura di QTSS Sottotitoli e revisione a cura di QTSS,-0.5093145900302463
_uen0okTYto,Video: Julia Roberts stars in new Calzedonia autumn winter campaign,D pretend D pretend D pretend,-3.7243411724384012
_uUPR5UVg00.s24,Nescafè,Nescafè Nescafè,-0.7139742109510634
_VxI8Bo64wQ.s5,segreteria telefonica Tim,"non c'è, non c'è ciao, o ci stai parlando? e... non stavo parlando ascoltavo il messaggio di una ragazza l'avrò riascoltato più di 100 volte e chi sarebbe? tu attivate la segreteria telefonica Tim per un mese offre a tutti l'ascolto gratuito dei messaggi",-0.22157217906071588
_wrMYLAUH70,"Spot ""Acqua Lete"" - 2000","C'è nessuno? Acqua Lete, ricca di piacere, povero di sodio.",-0.8867194175720214
_xyVajyQ9ZI.s7,abbigliamento e scarpe Sergio Tacchini,ingus,-5.0830223083496096
0048a5919caf485abd2eda7fdbeb804e_030,Borsci Elisir San Marzan33o,"Oh Mami, Oh Mami Mami Blue Elisir San Marzan33o Borsci Una e mille notti",-0.6865082468305316
011f989d412d42399b7b0839796eac6e_030,Worlds Of Wonder Lazer Tag Sogg. 1,"È l'anno 3010. Il pianeta terra sta per iniziare la sfida finale di Lazer Tag. Si affrontano i migliori atleti del momento. Al mio segnale, iniziate. Ora! Usse i cuori! Colpito, eliminato! Lazer Tag. Il gioco che si muove, alla velocità della luce. Sottotitoli creati dalla comunità Amara.org",-0.2916151556638208
02f16a050aee4635afce61afefde2634_030,John Walker & Sons Johnnie Walker Whisky,Conboo Al poorlei de retrouver una mujer. cualquiera arriba.,-5.559311866760254
03582ad00a80445f93d2b94498c5ff28_030,Volvo Polar,"L'evoluzione di Polar Evitate le sorpre, guidate una Polar",-0.8823480987548828
037c34b309614803a54e3ac27ed9da56_030,Zaini Tenerone Coffler Cioccolato,"Ma va, sei brutta! Sei brutta!",-0.7584758238358931
048a549a3ed54b0189100624e91d6976_030,Zucchetti Rubinetti,Zucchetti Rubinetti Chiamatù Zucchetti la libertà Fare con l'acqua tutto ciò che ti fa,-0.6962893009185791
06c7ccc816074b3f99f8d111aaec2e44_030,Johnnie Walker Whisky (Con Voce Finale),Johnnie Walker y el dios no se neva john igual que era arriba,-2.751811981201172
06fWT5-YH8E.s3,Superpunti Idea Donna,Superpunti Novità Idea Donna,-0.5370957510811942
06JkveWLtGE,Spot Promozione di Natale - Sky - 2003,"Un, due, tre Buon Natale a te! Qui facciamo un grande Natale. Ancia, infari! Bapò alla forza con per camino! A volte è un po' dura, ma noi continuiamo a terci dentro. E arriva il Natale. Caricate i regali! Stai giù! Vai con le slette! Presto, spetti! Preparati a ricevere di più. Con la nuova Promozione Sky, il Natale sarà un divertimento senza fine. Sottotitoli creati dalla comunità Amara.org",-0.35041234072516947
07UAxsBj1ic,👦Zaini Seven (2000) #2k #seven,"👦Zaini Seven, The Other Side of You 7, the other side of you.",-0.8820229172706604
08451a9911f844b787104a3679d58135_030,Henninger Birra Pilsner 30 Secondi,"1, 2, 3 Che buona è questa birra, anche tu la sognerai Henninger, Henninger, 1, 2, 3 Con tutti questi gusti, chissà quale sceglierai Henninger, Henninger, 1, 2, 3 Tre gusti per te, tre gusti Henninger La Pilsner, che simpatica freschezza sentirai Henninger, Henninger, 1, 2, 3 Che dà l'inverno sempre e con quel che sceglierai Henninger, Henninger, 1, 2, 3 www.mooji.it",-0.17574873780892566
0883bb08zD4,FIAT 500 spot 2010,FIAT 500 spot 2010 FIAT 500 spot 2010,-0.5544870694478353
0a87b75f1e7d4e5d8256dd60da7dd7b2_030,Nike Italia Indumenti Sportivi,Wind picture.,-3.969435555594308
0afae50ec26844149cb7760d2080be38_030,Alfa Romeo Arna Sogg. Pescatore,Benvenuti in Alfa. Ve lo dico con la mia nuova Arna. Costa solo 10 milioni 430 mila dire che potete pagare con un minimo antichico e forme diverse di rateazioni a partire da 270 mila dire al mese che inizia a pagare ben tre mesi dopo l'acquisto e inoltre avrete almeno un milione per l'usato. Tutto questo presse i concessionari che sfongono questo annuncio. Arna e sei subito al fista.,-0.24781275507229478
0aSmYOn4iUU.s3,gamma Fiat (♪ Musica: Senza Parole - Vasco Rossi ♪),Sottotitoli e revisione a cura di QTSS,-0.478679445054796
0aSmYOn4iUU.s39,Ford Fusion,Brussels.,-4.962079238891602
0aSmYOn4iUU.s5,BMW Serie 3,Puンk,-6.097857157389323
0b2f39b1374f42548f74e2de830706c4_030,Partito Comunista Italiano,Perché non lascia prendere una boccata d'aria? Pensiamo a una città con l'aria da bambino. PC. Il futuro dell'Italia e il movimento.,-0.501314746008979
0b78d206bd1240bb925dc9df9e2ab3bd_030,Riso Scotti Sottovuoto Con Gerry Scotti,"Visto il mio riso? Sta facendo grandi cose! Adesso è addirittura Sottovuoto! Riso Scotti viene raccolto, lavorato e... protetto sotto vuoto Così si conserva fresco, pieno di gusto, dalla risaia alla tavola Bello e buono Si? Dottor Scotti! Ma ormai lo sanno tutti che è suo! Giovane? Ah si! Riso Scotti Sottovuoto Il riso sempre giovane Sottotitoli creati dalla comunità Amara.org",-0.19323400890125947
0c43b045a84c4cc082ff7678cbcd6e8a_030,Crodino Sogg. Moda,Crodino Sogg. Moda Crodino Sogg. Moda,-0.6239444992759011
0cgyTSWF9G8,Spot McDonald's (2001),Sottotitoli creati dalla comunità Amara.org e Quest'estate i gamberetti e i calamari tusfiziosi pescali da mcdonald nel nuovo fritto mare,-0.553437762790256
0d3e5844e7104d62b59df3fb7b577988_030,Eberhard Orologi,"Eberhard Orologi Dal 1887, Eberhard. Una tradizione che continua.",-0.794703483581543
0d48f0bea3764493a6d453f9e7149f2f_030,Antonini Lumberjack Calzature,Duel Lumberjack Lumberjack,-0.8254899978637695
0dohXDUEVq4,Spot TRIBE by BREIL - 20 maggio 2007 - Canale 5,Spot TRIBE by BREIL,-0.6141137599945068
-0EpgWVWzZQ,PlayStation 2 - Playstation 2 Collection - Spot TV Italia (2007),,
0Hwo9KZqdEc.s11,cosmetici Vision Future Formula,"One, two, three... Vision Future Formula Vision e Vanità",-0.46087112426757815
0Hwo9KZqdEc.s2,Stirabimus Imetec,"Zoltan nem volt a Bois-be Zhi måva h surroundszi, merje a polgár cartonban és Gi qual emerge in dynsz. A joint tévesítés nem volt ledgekω Baby, take a chance tonight, get ready Baby, take a chance tonight, go, stand by tonight",-5.786950331467849
0Hwo9KZqdEc.s29,Punt e Mes Carpano,Punt e Mes Carpano,-0.48997840881347654
0keM6FcDx2A.s5,Tampax Compact,"Vado in bagno, torno a tu un secondo. Ciochi un attimo a cambiare i Tampax Compact, ci vuole piadirlo?",-0.6095694133213588
0keM6FcDx2A.s56,orologi Swatch Chrono Plastic Collection,Music,-0.9114826917648315
0keM6FcDx2A.s8,offerta sport Sky,,
0keM6FcDx2A.s9,Ford Focus Titanium,e la nuova Focus Titanium nuova Focus Titanium magnifica esecuzione a 14.950 euro in tutti gli showroom,-0.7417637881110696
0PCt6VyBupY,Spot Pronto Sky_Dream 2003,Sottotitoli e revisione a cura di QTSS Sottotitoli e revisione a cura di QTSS,-0.45711485544840497
0RDo_83PqGU.s17,Cat Milk Whiskas,In un tot!,-0.6258511543273926
1_ABeGfwGFE.s100,collutorio Tantum Verde Angelini,Tantum Verde Angelini,-0.6593489170074462
1_ABeGfwGFE.s17,Martini Soda,新しい息正しの早い準備!,-4.070410801814153
1_ABeGfwGFE.s18,chewing gum Mentos Pure Fresh,Menta's chewing gum. There's nothing like a Mentos kiss.,-0.6501332918802897
1_ABeGfwGFE.s20,Sprite Zero,I'm falling away I'm falling away,-0.5460842205927923
1_ABeGfwGFE.s25,profumo Boss Orange,"Boss Orange, the new fragrance, wear it with passion.",-0.5520778020222982
1_ABeGfwGFE.s4,birra Corona Extra,Ur21,-5.230155181884766
1_ABeGfwGFE.s58,concorso Coca Cola,si sa che può essere con Coca Cola vinci la musica e accendi l'estate scopri tutti i premi su coca cola.it,-0.8216912553117082
1_ABeGfwGFE.s62,Fiat Punto,Rock! Fiat Punto Rock,-0.9608529090881348
1_ABeGfwGFE.s63,vodka Artic,Artic! Artic! Artic! Artic! Artic. Rompe il ghiaccio.,-0.49890557650862066
1_ABeGfwGFE.s70,diario Comix,Lurjál!,-3.4068539142608643
1_ABeGfwGFE.s99,deodorante Borotalco Roberts,Borotalco supera le prove sudore. Parcheggio in una strada trafficata. Al primo appuntamento. Roba sudore superata! Deodorante Borotalco con microtalco che assorbe il sudore. Borotalco.,-0.3061540058680943
10deb472fcd84bcb9e538693a3e20697_030,Rowntree Mackintosh Kit Kat,"Spets foil ort 느낌이 favorydk, mine rive taht calle sing la sprin babe dia week Valar can-kin afupa Te rasınız es eu",-6.090660358297414
10xXwoSMS_o,Pubblicità Nuova Mini Countryman Getway 2010 #funny #mini #countryman #2010 #auto #spot,Hblue S Hblue S Hblue S Hblue S Hblue S H23 H22 H30 Bye!,-2.253019834819593
11b1214c3a7f45af831425204adcbe24_030,Peroni Birra – Sogg. Cavalli 2,Ramadan 5 Oh,-4.93762435913086
12f3ab0f3c48497fb3a4d22cc10d7dbc_030,Asti Cinzano Spumante,"Act Wat Kesaw Jesus was. Jesus was. Oh, when he was. Jesus was. When Jesus was. He taught me was. To was. Asticinzan The sign of the party.",-6.258980751037598
13bca9492f824feea565bd85fdc2c925_030,Pepsi Co. 7Up Sogg. Fido Dido Bibita E Ragazza,di ok Free,-5.835400390625
1642d61865564a46a6f2dff8ebb048a6_030,Terme Di Crodo Crodino Sogg Natale,"Mella notte serena c'è un pianto che sale per dire andri a te Stappa, stappa, stappa, stappa, stappa, stappa, stappa, stappa stappa, stappa, stappa, stappa, stappa, stappa. Ok allora dai dai dai dai dai stappa un crodino! un crotino è fantasia! allora dai dai dai dai dai dai scappa un crotino!",-0.6126448389995529
18319324492145fbbe8de480fb3cef30_045,Oleg Cassini Reporter Profumo,Reporter by Oleg Cassini Traccia ad uomo by Oleg Cassini,-0.7337362766265869
18f59444d4a846a5a265bfb5199759b6_015,Sangemini Ferrarelle Acqua,Leesher Gasator Oh,-0.7362205065213717
1dRq_br4-xs,Spot AXN (Sky) 2005,"Sottotitoli creati dalla comunità Amara.org AXN, High Energy TV Sottotitoli creati dalla comunità Amara.org",-0.3654633970821605
1tFN1GwJZe0,"Spot ""Badedas"" (2002)","Yeah yeah yeah Badedas, energy for body and mind.",-0.6634235382080078
1-tgQbhauTI.s0,discorso Gandhi Telecom Italia,"L'audio completo di questo discorso di Gandhi è stato ritrovato proprio in questi giorni. Un omaggio alla riflessione di tutti. L'appuntamento con il testo, commentato per voi da Tara Gandhi, è per il 15 agosto sui maggiori quotidiani e su avoicomunicare.it. A voi comunicare.",-0.3057739662401604
1-tgQbhauTI.s6,Powerade,"Powerade, sport drink ufficiale dei giochi olimpici.",-0.39264194170633954
1-tgQbhauTI.s8,"saldi Wind (con Aldo, Giovanni e Giacomo)",del Prado per tutti i nuovi clienti telefonate scontate fino al 50% per tutti i nuovi clienti telefonate scontate fino al 50%,-0.48289981842041013
1TjVyu1JEV0,Spot Simmenthal (2003),"Floop Arrivo, arrivo, arrivo Oh, mamma E' pronta, mamma, e' pronta, mamma E' pronta, mamma Mamma, mamma Oh, mamma Ehh, la mamma è sempre la mamma Forse è Perché la Simmental è sempre la Simmental La Simmental, pregi mamma Oh, mamma che buona",-0.33943696455522016
1wd9W-R06nk,SPOT BREIL 2004 | RICORDI SU NASTRO,Don't touch my brail.,-0.8831238746643066
2_-jGzC8ilQ,Profumo Chanel N 5 pubblicità spot 2020,"N°1 Chanel N°2 Numéro 5, Chanel.",-1.7181507457386365
20078ec1859d46c49428eadb67c9730e_030,Marlboro Classics,"Screeching, whirling, wailing, flashing eyes, howling, raging, tearing, take away",-0.5751422500610351
20f27648e4af432c90dbb0ee9de8901a_030,Invicta Zaini Invicta Sogg. Fiume,Invicta Zaini Invicta. Tudta la libertá.,-0.8055519104003906
21088cd189e74216b26ddd5d9888d0ca_030,Stefanel Abbigliamento,"Stefanel, l'amore addosso.",-0.4340285233088902
214c43c2f8614603899cfc9b663af661_030,Golden Lady Collant Con Anna Oxa,Golden Lady Con Anna Oxa,-0.7795842170715332
21fwJJ670q8,Spot Peugeot 2010 - Motion & Emotion,"Back my hand, go ahead, play my game, keep your head, back my hand Tonight, go ahead, tonight Tonight, keep your head, tonight, tonight Tonight, my man Tonight, go ahead, tonight Tonight, tonight Tonight",-0.782904798334295
21FWQjF_TnE,2018 Volkswagen Polo GTI Primo Spot Ufficiale Auto Novità,2018 Volkswagen Polo GTI Primo Spot Ufficiale Auto Novità 2019 Volkswagen Polo GTI Primo Spot Ufficiale Auto Novità,-0.6069232539126748
228c5c1e605f45ddbd278990542a7159_045,Lois Lois Jeans,"Didn't you miss me coisasasasasasasasasasa Cook給我一個 YES James Lois, the Devil in His Body.",-3.9567465100969588
23945a4f34e84502bdf56f6a715deaeb_030,Heineken Birra,"Aineken, lontano dal solito.",-0.8037096659342448
23Ptn5KuEDs,Nuvenia Blood Normal TV spot,Thanks for watching!,-0.6952478545052665
25ae320fa98d418ebd022e0a8e071e57_030,Benetton Abbigliamento,Benetton Abbigliamento Benetton,-0.7648041465065696
277Vrl31NYc,Pubblicita McDonald   Mc Cafè   Colazione a 1 euro   Maggio 2018,Pubblicita McDonald   Mc Cafè  Colazione a 1 euro  Maggio 2018,-0.0840704091389974
27kLsyCB6pw,Spot Pan di Stelle 2009 : Sogni diventati bontà,Sogni diventati bontà Sogni diventati bontà,-0.5533633232116699
2a177712ecb24ad5b77dcfe806b29a03_030,Dreher Birra,Makeup chi ha occhio sceglie tre,-3.17060120900472
2a22664f276e42d48e149fb1ffab8340_030,Hasbro Flipper Ring 4 E Flix,"Flipper Ring 4, un'incredibile cascata di emozioni, biglie imprevedibili che schizzano in ogni direzione, è una sfida tutti contro tutti senza un attimo di respiro. Ci vogliono riflessi polguranti e dita velocissime per diventare dei campioni. Mortissimo Flipper Ring 4 da Parker. Sei pronto alla grande sfida di Flix? Lancia le palline per fare un triangolo del tuo colore, ma attenzione, dovrai avere esito più allenato e una buona mira per fare Flix e vincere la partita! Flix è un gioco M-B-B! Flipper Ring 4 da Parker.",-0.17675786048361342
2baf539cb5844d009d994b7d208ec8fc_135,Banca Di Roma Sogg. Galleria Con Paolo Villaggio,"La galleria con Paolo Villaggio Viete beato? Dal grande amore, dal grande amore, godifilato! La galleria con Paolo Villaggio La galleria con Paolo Villaggio La galleria con Paolo Villaggio Buonanotte!",-0.7249173829049775
2c0dae0bd48d4b06bbfcf4a420074281_030,De Beers Diamanti Sogg. Natale,Greymonkey ely products Blueh Sung Colorful Fly red colors Y meine de dishwasher world a tool you,-5.414901408743351
2e9b986ea2234b77aef4e0186df9a048_030,Procter & Gamble Ace Detersivo Con Candeggiante,"Oh, ma che fai ? Con queste macchie di vino e inutile E può capitare ! Usa Ace Detersivo Con Candeggiante Si, perchè Ace Detersivo ha l'azione smacchiante del Candeggiante Guarda, lo sporco, il pulito tradizionale ed ecco il pulito di Ace Detersivo Un pulito stupendo ! E su tutto il bucato Certo ! E Ace ? Ace Detersivo Con Candeggiante, pulito senza ombra di macchia Oggi i detersivi Ace sono due, con Color Plus e con Candeggiante",-0.257854978499874
2HRClXV8fxo.s1,Fiat Croma,"Ah, davvero ? Ce la consegnano ? Proprio adesso. Adesso ? Fiat presenta Croma, il pianeta macchina. E allora, com'è ? E' un altro pianeta.",-0.7601710047040667
2HRClXV8fxo.s5,bourbon Four Roses,"Four Roses, American Bourbon Whisky Four Roses, gusto ricco e morbido",-0.47146289998834784
2IE_fkXkXA0,"Pubblicità 2004 - Shampoo Elvive De L'Oreal Paris, Volume No Stop - Canale 5","Pubblicità 2004- Shampoo Elvive De L'Oreal Paris, Volume No Stop",-0.4247113103451936
2KhV8BpHyqA,Victor Vegan con Ilary Blasi * Spot Vodafone Internet Key Natale 2008,Vodafone Internet Key Natale 2008 Vodafone Internet Key Natale 2008,-0.6888654232025146
2-sgRaADZCw.s4,Goal!! Tris e Valentina Moda In Grazioli Giochi,Valentina Moda In Grazioli Giochi Valentina Moda In Grazioli,-0.5226467677525112
2VxBQyofbXQ,"Acquario di Genova, ecco il nuovo spot pubblicitario",Acquario di Genova,-0.7899770206875272
2WktSvb3Q8A.s2,dadi Star,the most good flavor there is Brodo Star all the flavor of my home,-0.7566228442721896
2WypIB0XYho.s2,"VHS ""The Magical Mystery Tour"" e ""Help!""","La BMG video presenta... The Beatles! Per la prima volta in videocassetta, due eccezionali film! The Magical Mystery Tour and Help! Stereo Hi-Fi, versione originale con sottotitoli in italiano. Finalmente... The Beatles! The Magical Mystery Tour and Help! Un grande evento per il piccolo schermo!",-0.1967076002949416
2WypIB0XYho.s4,Supermercati Brianzoli,"Parada, salza solo e nella luce del mattino Vedi, c'è chi salza, chi lavora e chi è vicino Senti, è un amico, lui è grande, lui è super Supermercati Brianzoli, sono quelli che ti danno la nuovità Supermercati Brianzoli, il tuo grande mercato",-0.34933570861816404
2z9yTHcZk24.s110,cono Croccantino Cinquestelle Sammontana,con sorrisi cono croccantino deliziosi croccantini di mandorla caramellata in una morbida crema alla vaniglia cono croccantino cinquestelle sammontana lo mangi con gli occhi,-0.3955149301668493
2z9yTHcZk24.s18,birra Tuborg,illustrativo.,-0.7338969366891044
2z9yTHcZk24.s39,shampoo Nivea Hair Care,Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea Hair Care Nivea,-0.054799202813042534
2z9yTHcZk24.s69,Hyundai Tucson,"Tucson, lo spirito e la potenza di tutte le Hyundai",-0.3620990514755249
2z9yTHcZk24.s77,crema fluida vellutante Nivea Body,"informativa regolamento Nivea body vellutante, provate a resisterle",-0.5871560287475586
